Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,month,quarter,year,target,qib_to_rii_ratio,hni_to_rii_ratio,institutional_dominance,log_issue_size,log_qib,log_hni,log_rii,price_bucket,nifty_5d_return
2025-06-02,Schloss Bangalore Limited,3500.0,7.46,1.02,0.83,4.5,435,406.5,-6.55,438.45,438.3,0.79,6,2,2025,0,8.880952380952381,1.2142857142857144,1.6541019955654104,8.160803920954665,2.135349173618132,0.7030975114131134,0.6043159668533294,expensive,-1.0017585909523383
2025-05-28,Belrise Industries Limited,2150.0,108.35,38.33,4.27,41.3,90,98.5,9.44,137.0,136.18,52.22,5,2,2025,1,25.315420560747665,8.955607476635516,2.6228516097797145,7.67368812926773,4.694553747122777,3.671987586443718,1.6620303625532709,cheap,0.0513834247210001
2025-05-27,Borana Weaves Limited,144.89,87.21,237.42,200.53,148.78,216,243.0,12.5,220.8,219.81,2.22,5,2,2025,1,0.4348758352448389,1.1839034606562282,0.5861281000067209,4.982852913083804,4.479720335270676,5.474033824289855,5.305938253679398,mid,1.2852506896377376
2025-05-06,Ather Energy Limited,2980.8,1.7,0.66,1.78,1.43,321,326.05,1.57,411.55,410.4,28.21,5,2,2025,1,0.9497206703910616,0.3687150837988827,1.1805555555555556,8.0002824239943,0.9932517730102832,0.5068176023684519,1.0224509277025458,expensive,0.5452468940748505
2025-02-24,Quality Power Electronics Limited,858.7,1.03,1.45,1.83,1.29,425,432.05,1.66,804.7,805.8,89.34,2,1,2025,1,0.5597826086956522,0.7880434782608695,0.7923076923076923,6.756583491180399,0.708035793053696,0.8960880245566356,1.0402767116551463,expensive,-0.7125573700429016
2025-02-19,Hexaware Technologies Limited,8750.0,9.09,0.2,0.11,2.66,708,731.0,3.25,708.95,707.5,0.13,2,1,2025,1,75.75,1.6666666666666667,3.404494382022472,9.076923258535832,2.3115448343655176,0.1823215567939546,0.1043600153242427,premium,-0.4337085462297003
2025-02-17,Ajax Engineering Limited,1268.88,14.41,6.46,1.92,6.44,629,593.0,-5.72,717.3,715.65,14.04,2,1,2025,0,7.466321243523316,3.3471502590673574,2.234108527131783,7.146677686799371,2.7350166493320245,2.009555414215669,1.0715836162801904,premium,-1.9346392758929445
2025-02-04,Dr Agarwal's Healthcare Limited,3027.26,4.64,0.4,0.41,1.55,402,396.9,-1.27,451.5,452.85,12.31,2,1,2025,0,11.047619047619047,0.9523809523809524,2.974358974358974,8.015743476128725,1.7298840655099674,0.3364722366212129,0.3435897043900769,expensive,0.8545970755782681
2025-01-29,Denta Water & Infrastructure Limited,220.5,236.94,507.27,90.56,221.68,294,330.0,12.24,316.05,315.0,7.5,1,1,2025,1,2.6160980457105,5.60086121232196,1.068789751454734,5.40042258948519,5.47201854104838,6.231012802447468,4.516994495084366,expensive,-0.8555241562614742
2025-01-23,Stallion India Fluorochem Limited,199.45,172.93,422.42,96.89,188.37,90,120.0,33.33,123.8,122.86,37.56,1,1,2025,1,1.784623323013416,4.359339525283797,0.9179849240896062,5.300564839088516,5.158652919420062,6.048364594240794,4.583844399273339,cheap,-0.6711243517525074
2025-01-20,Laxmi Dental Limited,698.06,110.38,147.95,76.24,114.42,428,528.0,23.36,398.05,400.4,-7.0,1,1,2025,1,1.4476065573770491,1.9403278688524588,0.9646071834309184,6.549736575459905,4.7129477781615225,5.003610679159292,4.346917457560314,expensive,0.507884682968858
2025-01-17,Capital Infra Trust,1578.0,0.58,4.24,0.0,2.23,99,99.0,0.0,78.98,78.99,-20.22,1,1,2025,0,57.99999999999999,424.0,0.2589285714285714,7.364547014255642,0.4574248470388754,1.6563214983329508,0.0,cheap,-0.5108474436122313
2025-01-14,Quadrant Future Tek Limited,290.0,132.54,254.71,246.94,186.66,290,374.0,28.97,384.2,382.6,32.48,1,1,2025,1,0.5367078355942498,1.0314233650536546,0.710023035302941,5.673323267171493,4.894401058429723,5.544043989862504,5.513186781410001,expensive,-2.623392040743275
2025-01-13,Standard Glass Lining Technology Limited,410.05,331.6,268.5,64.99,183.18,140,176.0,25.71,165.8,168.0,18.43,1,1,2025,1,5.101538461538462,4.130769230769231,1.8101424750259296,6.018714861598142,5.806940566758827,5.596568390349052,4.18950321539533,mid,-0.7814633486328899
2025-01-07,Indo Farm Equipment Limited,260.15,242.4,503.83,104.92,229.68,215,258.4,20.19,210.5,209.8,-2.09,1,1,2025,1,2.3101115029066994,4.80158200705232,1.0553354521311331,5.565094954882308,5.494706180553427,6.224221738938162,4.662684092188698,mid,-0.1215912126559271
2024-12-31,Unimech Aerospace and Manufacturing Limited,500.0,317.63,263.78,56.74,175.31,785,1491.0,89.94,1097.0,1099.9,39.75,12,4,2024,1,5.597004405286343,4.648105726872246,1.8117157198266027,6.2166061010848646,5.764030555001558,5.578899292509511,4.055950174234789,premium,-0.4569813298496287
2024-12-30,Ventive Hospitality Limited,1600.0,9.08,13.85,5.87,9.8,643,718.15,11.69,744.25,741.15,15.75,12,4,2024,1,1.54421768707483,2.3554421768707483,0.9255861365953107,7.378383712996714,2.3105532626432224,2.6979998652487085,1.927164106234258,premium,0.9577123078961316
2024-12-30,Carraro India Limited,1250.0,2.21,0.6,0.71,1.12,704,660.0,-6.25,416.95,416.4,-40.77,12,4,2024,0,3.0694444444444446,0.8333333333333334,1.95575221238938,7.131698510466912,1.1662709371419244,0.4700036292457356,0.5364933705145685,premium,0.9577123078961316
2024-12-30,Senores Pharmaceuticals Limited,582.11,94.66,96.11,89.23,93.41,391,593.7,51.84,660.55,661.0,68.94,12,4,2024,1,1.060735096369341,1.0769834155087403,1.0132733889959322,6.368375847798085,4.560800238252151,4.575844356606263,4.50236196600641,expensive,0.9577123078961316
2024-12-27,Transrail Lighting Limited,838.91,201.06,76.41,22.07,80.8,432,585.15,35.45,787.2,782.85,82.22,12,4,2024,1,9.105978260869565,3.460597826086956,2.488058408612796,6.733294743240011,5.308564682999586,4.349115971216622,3.138533072185662,expensive,-0.841276429533069
2024-12-27,Dam Capital Advisors Limited,840.25,166.33,98.62,27.13,82.08,283,392.9,38.83,219.7,218.93,-22.37,12,4,2024,1,6.128592483419308,3.633750921149595,2.026190766232184,6.734888880958938,5.119967910506483,4.601362947645137,3.3368366225017656,expensive,-0.841276429533069
2024-12-27,Mamata Machinery Limited,179.35,235.88,274.38,138.08,194.95,243,600.0,146.91,423.1,422.7,74.12,12,4,2024,1,1.708161344050981,1.98696502281121,1.2098892080426755,5.194899407349548,5.467553683793335,5.618151962016226,4.935049307139661,mid,-0.841276429533069
2024-12-27,Sanathan Textiles Limited,550.0,75.62,42.21,8.93,35.12,321,419.1,30.56,460.4,458.35,43.43,12,4,2024,1,8.4586129753915,4.721476510067115,2.1525761457443786,6.311734809152915,4.338858139272503,3.766071949943842,2.295560478057081,expensive,-0.841276429533069
2024-12-27,Concord Enviro Systems Limited,500.33,17.32,14.2,5.56,10.67,701,832.0,18.69,537.35,541.1,-23.35,12,4,2024,1,3.1095152603231604,2.5493716337522443,1.6217228464419475,6.217264566883401,2.9079933592459843,2.7212954278522306,1.8809906029559973,premium,-0.841276429533069
2024-12-20,International Gemmological Institute (India) Limited,4225.0,45.8,24.84,11.21,33.78,417,504.85,21.07,336.9,337.35,-19.21,12,4,2024,1,4.0819964349376106,2.213903743315508,1.3554306007694583,8.349011198176003,3.845883202923601,3.2519236789144013,2.502255288122613,expensive,-3.2969623944416098
2024-12-19,Inventurus Knowledge Solutions Limited,2497.92,80.64,23.25,14.55,52.68,1329,1856.0,39.65,1582.55,1578.2,19.08,12,4,2024,1,5.538461538461538,1.5968406593406592,1.53046118808123,7.8236139175174095,4.402319337941644,3.188416617383492,2.744060638625243,premium,-1.4251248355668031
2024-12-18,Vishal Mega Mart Limited,8000.0,80.75,14.25,2.31,27.28,78,110.0,41.03,142.2,141.26,82.31,12,4,2024,1,34.806034482758626,6.142241379310345,2.958959325760352,8.987321812850125,4.403665809777363,2.724579503053421,1.1969481893889715,cheap,-1.2409839035898889
2024-12-18,One Mobikwik Systems Limited,572.0,119.5,108.95,134.67,119.38,279,442.25,58.51,230.35,229.41,-17.44,12,4,2024,1,0.8872883872883874,0.8089545589545591,1.000921350196834,6.35088571671474,4.791649752930709,4.70002571700077,4.910225466497217,expensive,-1.2409839035898889
2024-12-18,Sai Life Sciences Limited,3042.62,30.93,4.92,1.37,10.26,549,660.0,20.22,884.1,878.1,61.04,12,4,2024,1,22.413043478260867,3.565217391304348,3.011684518013632,8.020802875446503,3.4635460067266908,1.7783364488959144,0.8628899551470398,premium,-1.2409839035898889
2024-12-06,Suraksha Diagnostic Limited,846.25,1.74,1.41,0.95,1.27,441,437.0,-0.91,297.55,298.05,-32.53,12,4,2024,0,1.8125,1.46875,1.359375,6.741995810487161,1.007957920399979,0.8796267475025635,0.6678293725756554,expensive,2.3923517394363456
2024-11-29,Enviro Infra Engineers Limited,650.3,157.05,153.8,24.48,89.9,148,218.0,47.3,247.0,246.45,66.89,11,4,2024,1,6.412821559820335,6.280114332380563,1.7467467467467466,6.478970365552356,5.062911438661627,5.042133961155627,3.237893830703962,mid,0.028863171736607
2024-11-27,NTPC Green Energy Limited,10000.0,3.32,0.81,3.44,2.42,108,111.6,3.33,103.6,103.4,-4.07,11,4,2024,1,0.9623188405797102,0.2347826086956522,1.3662551440329218,9.210440366976515,1.463255402256019,0.5933268452777344,1.4906543764441331,cheap,2.874332971915726
2024-11-22,Zinka Logistics Solution Limited (BlackBuck),1114.72,2.76,0.24,1.66,1.86,273,279.05,2.22,537.15,536.0,96.76,11,4,2024,1,1.652694610778443,0.1437125748502994,1.4759358288770053,7.017255215404227,1.324418957401803,0.2151113796169455,0.9783261227936076,expensive,-0.8877708722944688
2024-11-14,Niva Bupa Health Insurance Company Limited,2200.0,2.06,0.68,2.73,1.8,74,78.5,6.08,80.43,80.18,8.69,11,4,2024,1,0.7518248175182483,0.2481751824817518,1.138121546961326,7.696667081526462,1.118414915964289,0.5187937934151675,1.316408233655724,cheap,-2.645934037321993
2024-11-13,Swiggy Limited,11327.4,6.02,0.41,1.14,3.59,390,412.0,5.64,399.45,396.55,2.42,11,4,2024,1,5.234782608695652,0.3565217391304348,1.6722222222222225,9.335068126044554,1.94876321803772,0.3435897043900769,0.76080582903376,expensive,-2.4530318445505896
2024-11-13,ACME Solar Holdings Limited,2900.0,3.54,0.97,3.1,2.75,289,259.0,-10.38,276.35,278.25,-4.38,11,4,2024,0,1.1382636655948553,0.3118971061093247,1.282608695652174,7.972810784121404,1.5129270120532563,0.6780335427498971,1.410986973710262,expensive,-2.4530318445505896
2024-11-12,Sagility India Limited,2106.4,3.52,1.93,4.16,3.2,30,31.06,3.53,44.73,44.46,49.1,11,4,2024,1,0.8441247002398081,0.4628297362110312,1.0965732087227416,7.6532102391654275,1.5085119938441398,1.075002423028976,1.6409365794934714,cheap,-0.2973572279569355
2024-11-04,Afcons Infrastructure Limited,5430.0,3.79,5.05,0.94,2.63,463,430.05,-7.12,422.0,422.3,-8.86,11,4,2024,0,3.989473684210527,5.315789473684211,1.4356060606060608,8.599878558034845,1.5665304114228238,1.80005827204275,0.6626879730752367,expensive,-0.1429827282032187
2024-10-30,Godavari Biorefineries Limited,554.75,2.76,0.9,1.71,1.83,352,310.55,-11.78,284.0,287.45,-19.32,10,4,2024,0,1.6046511627906976,0.5232558139534884,1.4999999999999998,6.320318552844306,1.324418957401803,0.6418538861723948,0.9969486348916096,expensive,0.1282953464222135
2024-10-28,Deepak Builders & Engineers India Limited,260.04,13.91,82.47,39.79,41.54,203,198.5,-2.22,132.2,132.68,-34.88,10,4,2024,0,0.3494974874371859,2.072110552763819,0.334777376654633,5.564673652285065,2.702032128776647,4.424487285862646,3.708436953329467,mid,-2.42240593673212
2024-10-28,Waaree Energies Limited,4321.44,208.63,62.49,10.79,76.34,1503,2550.0,69.66,3171.1,3162.3,110.98,10,4,2024,1,19.3175925925926,5.786111111111111,2.732547478716437,8.371575336605119,5.345344071975791,4.150882413182359,2.4672517145492794,premium,-2.42240593673212
2024-10-22,Hyundai Motor India Limited,27858.8,6.97,0.6,0.5,2.37,1960,1931.0,-1.48,2234.75,2225.1,14.02,10,4,2024,0,13.666666666666666,1.1764705882352942,2.9285714285714284,10.234940068557131,2.075684492802124,0.4700036292457356,0.4054651081081644,premium,-1.1024709488694022
2024-10-15,Garuda Construction and Engineering Limited,264.1,1.24,9.03,10.81,7.55,95,103.2,8.63,171.4,170.33,80.42,10,4,2024,1,0.1146025878003696,0.8345656192236598,0.164021164021164,5.58010711329498,0.8064758658669484,2.305580601973844,2.468946630209271,cheap,0.4589538955797704
2024-10-04,Diffusion Engineers Limited,157.96,95.74,207.6,85.61,114.49,168,188.0,11.9,336.5,335.85,100.3,10,4,2024,1,1.1181966830179864,2.424667133847232,0.8361572052401747,5.0686525982435615,4.572026967394837,5.340418542566672,4.461415282342953,mid,-3.684579267621265
2024-10-03,KRN Heat Exchanger and Refrigeration Limited,341.95,253.04,431.63,98.29,214.42,220,470.0,113.64,911.25,911.0,314.2,10,4,2024,1,2.574160732451678,4.390946083418108,1.1800587604346409,5.83758466394533,5.537491734934774,6.069882859242089,4.598044861045503,mid,-0.7969881610695407
2024-09-30,Manba Finance Limited,150.84,148.55,511.62,143.95,224.05,120,150.0,25.0,138.55,138.8,15.46,9,3,2024,1,1.0318838566268411,3.5539038621839407,0.6629920556993663,5.022827334861618,5.007630785075957,6.2395348299460505,4.976388855367665,cheap,0.9248543422930888
2024-09-24,Arkade Developers Limited,410.0,163.16,163.02,51.39,106.83,128,175.9,37.42,190.6,190.0,48.91,9,3,2024,1,3.17431906614786,3.1715953307393,1.5271433919880193,6.018593214496234,5.100841561982405,5.099988371608265,3.958715733420128,mid,2.0477170570398804
2024-09-24,Northern ARC Capital Limited,777.0,240.79,142.41,31.08,110.91,263,351.0,33.46,230.05,229.21,-12.53,9,3,2024,1,7.744934062399485,4.580572531360566,2.17084385142445,6.656726524178391,5.488069580832519,4.965707660741121,3.4682327829983137,expensive,2.0477170570398804
2024-09-24,Western Carriers Limited,492.88,27.99,44.71,25.95,30.57,172,170.0,-1.16,120.0,120.0,-30.23,9,3,2024,0,1.0781972265023112,1.7222650231124808,0.9153041203400916,6.202292572699543,3.366950942933564,3.822317092343653,3.2939832973550063,mid,2.0477170570398804
2024-09-17,P N Gadgil Jewellers Limited,1100.0,136.85,56.08,16.58,59.4,480,834.0,73.75,554.1,553.05,15.44,9,3,2024,1,8.248945147679324,3.3803496081977094,2.303484261908769,7.00397413672268,4.926166137469806,4.044453792608636,2.866761892257031,expensive,1.368352013170847
2024-09-16,Tolins Tyres Limited,230.0,25.42,27.41,21.52,23.89,226,227.0,0.44,155.0,154.7,-31.42,9,3,2024,1,1.1806781235485369,1.2731072921504876,1.0635983263598323,5.442417710521793,3.27412129909418,3.3467411958660964,3.1144038032714896,mid,1.684684247903475
2024-09-16,Bajaj Housing Finance Limited,6560.0,209.36,41.51,7.04,63.61,70,150.0,114.29,113.2,113.02,61.71,9,3,2024,1,29.696453900709223,5.887943262411348,3.290789060044012,8.788898309344878,5.348820348721143,3.749739342370699,2.0844290831908747,cheap,1.684684247903475
2024-09-16,Kross Limited,500.0,23.32,22.24,10.76,16.81,240,240.0,0.0,162.7,162.66,-32.21,9,3,2024,0,2.1652739090065,2.064995357474466,1.3864447086801426,6.2166061010848646,3.1912990570979662,3.1458749319837103,2.464703942470481,mid,1.684684247903475
